name,coreName,country,methodology,levels
"Expresar sus preferencias, sensaciones y emociones relacionadas con diferentes recursos expresivos que se encuentran en sencillas obras visuales (colorido, formas), musicales (fuente, intensidad del sonido) o escénicas (desplazamiento, vestimenta, carácter expresivo).",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Interpretar canciones y juegos musicales, experimentando con diversos recursos tales como, la voz, el cuerpo, instrumentos musicales y objetos.",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Expresar corporalmente sensaciones y emociones experimentando con mímica, juegos teatrales, rondas, bailes y danzas.",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Expresar emociones, ideas y experiencias por medio de la plástica experimentando con recursos pictóricos, gráficos y de modelado",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Experimentar diversas posibilidades de expresión, combinando lenguajes artísticos en sus producciones.",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Representar a través del dibujo, diversos elementos de su entorno, incorporando figuras cerradas, trazos intencionados y primeros esbozos de la figura humana.",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Manifestar interés y asombro por diversos elementos, situaciones y fenómenos del entorno natural, explorando, observando, preguntando, describiendo, agrupando, entre otros",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Comunicar verbalmente características de elementos y paisajes de su entorno natural, tales como cuerpos celestes, cerros, desierto, flora; y de fenómenos como marejadas, sismos, tormentas, sequías.",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Descubrir que el sol es fuente de luz y calor para el planeta, a través de experiencias directas o TICs",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Comunicar algunas propiedades básicas de los elementos naturales que explora, tales como: colores, texturas, tamaños, temperaturas entre otras.",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Distinguir una variedad progresivamente más amplia de animales y plantas, respecto a sus características (tamaño, color, textura y morfología), sus necesidades básicas y los lugares que habitan, al observarlos en forma directa, en libros ilustrados o en TICs",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Colaborar en situaciones cotidianas, en acciones que contribuyen al desarrollo de ambientes sostenibles, tales como cerrar las llaves de agua, apagar aparatos eléctricos, entre otras",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Emplear instrumentos y herramientas de observación y recolección (lupas, frascos, recipientes, botellas, cucharas, embudos, pinzas, entre otros) en la exploración del entorno natural.",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Experimentar mezclas y disoluciones con materiales cotidianos tales como: burbujas de jabón, agua salada, gelatina, describiendo los cambios observados",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Reconocer que el aire y el agua son elementos vitales para las personas, los animales y las plantas, y que estos elementos pueden encontrarse con o sin contaminación.",Exploración del Entorno Natural,cl,,Nivel Medio Menor
"Describir actividades habituales de su comunidad, como ir de compras, jugar en la plaza, viajar en bus, entre otras, señalando su participación en ellas",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Describir características de las formas de vida de su comunidad (viviendas, paisajes, costumbres), a través de canciones, juegos, relatos y fotos familiares, entre otras.",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
Seleccionar utensilios domésticos y objetos tecnológicos que les permiten resolver problemas en contextos sociales auténticos.,Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer sucesos significativos de su historia personal y familiar, en diversas situaciones, tales como: conversaciones familiares, relatos de un agente comunitario, visitas a lugares, observación de fotografías, entre otros.",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Identificar instituciones significativas de su entorno, describiendo actividades rutinas representativas que en ellas se realizan.",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Identificar algunas normas de protección y seguridad de su entorno cotidiano referidas a alimentación, tránsito y sismos, y otras pertinentes a su contexto geográfico.",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Distinguir en paisajes de su localidad, elementos naturales (bosque, cerros, ríos), y culturales (caminos, edificios, puentes).",Comprensión del Entorno Sociocultural,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reproducir patrones sonoros, visuales, gestuales, corporales u otros, de dos o tres elementos.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Experimentar con diversos objetos, estableciendo relaciones al clasificar por dos atributos a la vez (forma, color, entre otros) y seriar por altura o longitud",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Describir la posición de objetos y personas, respecto de un punto u objeto de referencia, empleando conceptos de ubicación y distancia tales como: dentro/fuera; encima/debajo; cerca /lejos.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Orientarse temporalmente en situaciones cotidianas, mediante la utilización progresiva de algunas nociones y relaciones de secuencias, tales como: antes/después, día/noche, hoy/mañana.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Emplear cuantificadores, tales como: más/menos, mucho/poco, todo/ninguno, al comparar cantidades de objetos en situaciones cotidianas.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Emplear progresivamente los números, para contar, identificar, cuantificar y comparar cantidades, hasta el 10 e indicar orden o posición de algunos elementos en situaciones cotidianas o juegos.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Representar progresivamente, números y cantidades en forma concreta y pictórica hasta el 10.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Resolver progresivamente problemas simples, de manera concreta y pictórica, agregando o quitando hasta 5 elementos.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Descubrir atributos de figuras 3D, mediante la exploración de objetos presentes en su entorno.",Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
Identificar algunas acciones que se llevaron a cabo para resolver problemas.,Pensamiento Matemático,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Expresar vocal, gestual o corporalmente distintas necesidades o emociones (alegría, miedo, pena, entre otras).",Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
Manifestar satisfacción cuando percibe que adultos significativos le expresan afecto,Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer algunas emociones en adultos significativos, reaccionando frente a ellas.",Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar sus preferencias por algunas situaciones, objetos y juegos.",Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar interés por nuevas situaciones u objetos, ampliando su campo y repertorio de acción habitual.",Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer algunos rasgos distintivos de su identidad, tales como: su nombre y su imagen física en el espejo.",Identidad y Autonomía,cl,,Sala Cuna Menor
"Incorporar rutinas básicas vinculadas a la alimentación, vigilia, sueño, higiene, y vestuario dentro de un contexto diferente a su hogar y sensible a sus necesidades personales.",Identidad y Autonomía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Interactuar con pares y adultos significativos (a través de gestos y vocalizaciones,entre otros), en diferentes situaciones y juegos.",Convivencia y Ciudadanía,cl,,Sala Cuna Menor
"Disfrutar de la cercanía de niños, niñas y adultos en juegos y situaciones cotidianas.",Convivencia y Ciudadanía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar interés por lo que le sucede a otros niños y niñas, a través de acciones tales como: abrazar a quien está llorando, hacer cariños, entre otros.",Convivencia y Ciudadanía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
Manifestar interés por participar en celebraciones de su entorno significativo.,Convivencia y Ciudadanía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Practicar algunas normas de convivencia, tales como: sentarse en su silla para almorzar, saludar, despedirse, y colaborar en acciones cotidianas.",Convivencia y Ciudadanía,cl,,Sala Cuna Menor
"Manifestar disposición para responder positivamente o cambiar su comportamiento, frente a requerimientos del adulto, asociados a su seguridad y bienestar.",Convivencia y Ciudadanía,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Expresar oralmente sus emociones y necesidades, a través de balbuceos, vocalizaciones y diversos recursos gestuales.",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Expresar oralmente sus necesidades e intereses, mediante la combinación de palabras y gestos, el uso de palabra-frase y progresivamente el empleo de frases simples",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Identificar progresivamente la intención comunicativa de las distintas personas de su entorno a partir de sus expresiones verbales, no verbales y paraverbales.",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Comprender mensajes simples y breves en juegos y situaciones comunicativas cotidianas, respondiendo en forma gestual y corporal.",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer sonidos de diferentes fuentes sonoras de su entorno cotidiano, tales como objetos, artefactos, instrumentos musicales, animales, naturaleza.",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Incorporar nuevas palabras a su repertorio lingüístico para comunicarse con otros, en juegos y conversaciones.",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Disfrutar de distintos textos gráficos (libros de cuentos, láminas, entre otros) al manipularlos y observar sus imágenes",Lenguaje Verbal,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar interés por los sonidos, las texturas, los colores y la luminosidad de su entorno, respondiendo a través de diversas formas, tales como balbuceo, gestos, sonrisas, entre otros.",Lenguaje Artístico,cl,,Sala Cuna Menor
"Producir sonidos con su voz, su cuerpo y diversos objetos sonoros, en forma espontánea o por imitación.",Lenguaje Artístico,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Imitar gestos, movimientos, sonidos de su entorno significativo, a través de diversos medios.",Lenguaje Artístico,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar sus preferencias por recursos expresivos presentes en piezas musicales, visuales, y escénicas, a través de gestos, movimientos, palabras, entre otros.",Lenguaje Artístico,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Expresar corporalmente las emociones y sensaciones que le provocan algunas piezas musicales, bailando, cantando e intentando seguir el ritmo",Lenguaje Artístico,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Experimentar sus posibilidades de expresión plástica a través de diversos recursos, produciendo sus primeros garabateos espontáneos.",Lenguaje Artístico,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar curiosidad y asombro por algunos elementos, situaciones y fenómenos que ocurren en su entorno natural cercano, tales como: arena, lluvia, viento, entre otros.",Exploración del Entorno Natural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer algunos elementos representativos de su entorno natural, tales como: animales, plantas, ríos, cerros, desierto.",Exploración del Entorno Natural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Explorar su entorno, observando, manipulando y experimentando con diversos materiales de su interés, tales como: mezclar agua con tierra, recoger hojas o ramas, trasladar piedras, hacer huellas.",Exploración del Entorno Natural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
Imitar gestos y acciones que realizan personas de su entorno cercano.,Comprensión del Entorno Sociocultural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Identificar algunas actividades habituales que se realizan en su vida cotidiana, tales como: preparación de alimentos, rutinas antes de dormir, entre otras.",Comprensión del Entorno Sociocultural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Manifestar interés por canciones, juegos y bailes que forman parte de su cotidianeidad.",Comprensión del Entorno Sociocultural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Explorar utensilios domésticos y objetos tecnológicos que forman parte de su vida cotidiana, tales como: pocillos, envases de botellas, escobas, cucharas, teléfonos, entre otros, utilizándolos progresivamente en situaciones cotidianas y juegos",Comprensión del Entorno Sociocultural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer objetos y personas, asociándolos a ciertos lugares, tales como: educadora/ técnico y jardín infantil; mamá/papá y casa; cama y dormir, recinto de cocina y comida, de su entorno sociocultural.",Comprensión del Entorno Sociocultural,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Adquirir la noción de permanencia de objetos y de personas significativas, mediante juegos con diversos objetos de uso cotidiano.",Pensamiento Matemático,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Explorar a través de sus experiencias sensoriales y motrices, atributos de los objetos tales como: tamaño, textura y dureza.",Pensamiento Matemático,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Experimentar con los objetos, resolviendo situaciones concretas, tales como: alcanzar objetos, apretar botones en aparatos sonoros, sacar juguetes de contenedores, juntarobjetos, entre otros.",Pensamiento Matemático,cl,,Sala Cuna Menor
"Utilizar en situaciones lúdicas, nociones de ubicación en relación con su propio cuerpo tales como: dentro/fuera; encima/debajo.",Pensamiento Matemático,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Orientarse temporalmente en situaciones cotidianas, siguiendo secuencias breves tales como: antes/después.",Pensamiento Matemático,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Emplear cuantificadores (más/menos, mucho/poco), en situaciones cotidianas.",Pensamiento Matemático,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer algunos rasgos distintivos de su identidad, tales como: su nombre y su imagen física en el espejo",Identidad y Autonomía,cl,,Sala Cuna Mayor
"Interactuar con pares y adultos significativos (a través de gestos y vocalizaciones, entre otros), en diferentes situaciones y juegos.",Convivencia y Ciudadanía,cl,,Sala Cuna Mayor
"Practicar algunas normas de convivencia, tales como: sentarse en su silla para almorzar, saludar, despedirse, y colaborar en acciones cotidianas",Convivencia y Ciudadanía,cl,,Sala Cuna Mayor
"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente",Corporalidad y movimiento,cl,,Sala Cuna Mayor
"Comprender progresivamente, a partir de la escucha atenta, algunos contenidos explícitos de textos literarios y no literarios, respondiendo preguntas simples, en forma oral o gestual (¿qué es?, ¿quién es?, ¿dónde está?)",Lenguaje Verbal,cl,,Sala Cuna Mayor
"Descubrir características de animales al observarlos en forma directa, en textos y en imágenes.",Exploración del Entorno Natural,cl,,Sala Cuna Mayor
"Colaborar en actividades sencillas de cuidado de la naturaleza, tales como: regar, recoger hojas, trasladar ramitas, entre otras.",Exploración del Entorno Natural,cl,,Sala Cuna Mayor
"Experimentar con los objetos, resolviendo situaciones concretas, tales como: alcanzar objetos, apretar botones en aparatos sonoros, sacar juguetes de contenedores, juntar objetos, entre otros",Pensamiento Matemático,cl,,Sala Cuna Mayor
